iccs,sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,M,P_HTHAB,DE	7.78 	7.75 	7.87 	8.32 	8.72 	9.00 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,DK	6.01 	5.80 	6.41 	6.65 	6.45 	6.80 	6.47 	7.00 	6.45 	6.08 	5.90 
ICCS0101,M,P_HTHAB,EE	50.56 	55.22 	60.64 	66.21 	: 	78.55 	: 	81.49 	79.74 	: 	: 
ICCS0101,M,P_HTHAB,EL	15.26 	15.51 	15.06 	14.37 	15.32 	14.26 	14.88 	12.47 	11.88 	10.39 	13.07 
ICCS0101,M,P_HTHAB,ES	15.98 	15.32 	15.80 	15.97 	15.52 	15.89 	15.55 	13.18 	13.52 	13.43 	12.49 
ICCS0101,M,P_HTHAB,FI	15.96 	16.85 	17.62 	20.21 	20.44 	20.89 	20.43 	20.77 	20.61 	20.64 	20.10 
ICCS0101,M,P_HTHAB,FR	14.38 	13.80 	14.35 	8.97 	11.21 	11.85 	10.02 	10.02 	10.09 	10.37 	10.66 
ICCS0101,M,P_HTHAB,HR	15.44 	: 	: 	15.84 	18.29 	18.77 	18.47 	: 	19.81 	20.66 	20.51 
ICCS0101,M,P_HTHAB,HU	31.57 	32.73 	: 	26.96 	29.38 	28.24 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,IE	: 	: 	: 	: 	: 	17.29 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,IS	3.94 	3.51 	: 	: 	: 	11.15 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,IT	30.42 	30.27 	29.86 	30.15 	30.88 	32.34 	20.94 	20.58 	20.42 	19.91 	19.06 
ICCS0101,M,P_HTHAB,LI	: 	: 	5.36 	0.00 	5.43 	5.48 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,LT	112.16 	115.38 	118.08 	121.89 	131.64 	132.74 	136.83 	135.52 	124.12 	117.22 	114.02 
ICCS0101,M,P_HTHAB,LU	: 	15.84 	0.00 	20.57 	20.72 	18.63 	19.10 	14.53 	: 	: 	: 
ICCS0101,M,P_HTHAB,LV	63.40 	63.53 	64.25 	65.41 	70.99 	72.96 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,ME	7.15 	15.60 	14.62 	12.68 	14.98 	4.89 	3.59 	6.21 	5.24 	4.93 	4.29 
ICCS0101,M,P_HTHAB,MT	: 	19.86 	17.01 	14.44 	15.06 	14.77 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,NO	: 	4.91 	4.88 	5.04 	4.83 	4.93 	5.24 	5.12 	5.03 	5.05 	5.38 
ICCS0101,M,P_HTHAB,PL	21.88 	21.76 	21.83 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,PT	5.44 	5.57 	5.77 	6.07 	6.13 	6.37 	6.32 	6.33 	6.46 	6.47 	6.45 
ICCS0101,M,P_HTHAB,RO	50.55 	55.53 	61.62 	63.81 	61.72 	61.60 	51.95 	48.91 	47.59 	48.00 	50.13 
ICCS0101,M,P_HTHAB,RS	21.67 	20.41 	19.82 	21.74 	20.75 	17.24 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,SE	12.10 	11.99 	11.19 	11.12 	10.90 	11.23 	9.25 	9.13 	9.53 	9.17 	8.94 
ICCS0101,M,P_HTHAB,SI	9.44 	8.10 	6.94 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,SK	13.74 	13.16 	17.46 	17.52 	17.58 	: 	: 	: 	: 	: 	: 
ICCS0101,M,P_HTHAB,TR	81.87 	: 	73.57 	70.90 	68.35 	64.99 	16.68 	9.07 	7.78 	4.08 	: 
ICCS0101,M,P_HTHAB,UKC-L	17.80 	17.96 	18.21 	17.85 	17.80 	17.94 	17.95 	17.56 	16.83 	17.80 	16.40 
ICCS0101,M,P_HTHAB,UKM	: 	: 	: 	: 	31.14 	31.26 	30.58 	30.40 	30.51 	31.70 	31.45 
ICCS0101,M,P_HTHAB,UKN	: 	: 	19.06 	23.05 	23.18 	18.87 	17.15 	18.04 	17.70 	16.46 	: 
ICCS0101,M,P_HTHAB,XK	39.07 	: 	: 	: 	: 	: 	: 	43.35 	39.63 	24.70 	: 
ICCS0101,T,NR,AL	411 	429 	325 	387 	1076 	1162 	1202 	1126 	1167 	1239 	1138 
ICCS0101,T,NR,AT	528 	498 	488 	487 	495 	513 	536 	533 	526 	519 	534 
ICCS0101,T,NR,BA	155 	357 	349 	446 	403 	407 	: 	: 	: 	: 	: 
ICCS0101,T,NR,BE	: 	: 	: 	: 	: 	: 	890 	850 	857 	814 	848 
ICCS0101,T,NR,BG	832 	849 	811 	809 	897 	935 	981 	979 	979 	1050 	1078 
ICCS0101,T,NR,CH	477 	532 	545 	541 	495 	500 	496 	487 	487 	488 	468 
ICCS0101,T,NR,CY	: 	: 	: 	: 	: 	18 	20 	19 	19 	17 	: 
ICCS0101,T,NR,CZ	1110 	1143 	1192 	878 	1160 	1158 	1110 	1247 	: 	: 	: 
ICCS0101,T,NR,DE	3391 	3359 	3398 	3543 	3679 	3795 	: 	: 	: 	: 	: 
ICCS0101,T,NR,DK	182 	178 	191 	196 	193 	203 	195 	211 	192 	180 	174 
ICCS0101,T,NR,EE	329 	359 	395 	430 	488 	512 	517 	530 	527 	574 	620 
ICCS0101,T,NR,EL	844 	867 	854 	806 	874 	817 	853 	724 	670 	608 	756 
ICCS0101,T,NR,ES	3717 	3815 	3903 	3924 	3809 	3914 	3827 	3225 	3303 	3245 	2972 
ICCS0101,T,NR,FI	479 	508 	530 	604 	601 	621 	602 	604 	599 	591 	576 
ICCS0101,T,NR,FR	4992 	4795 	4960 	3099 	3889 	4091 	3422 	3406 	3403 	3470 	3546 
ICCS0101,T,NR,HR	324 	: 	: 	339 	390 	403 	394 	: 	427 	453 	441 
ICCS0101,T,NR,HU	1630 	1700 	: 	1402 	1537 	1471 	: 	: 	: 	: 	: 
ICCS0101,T,NR,IE	: 	: 	: 	: 	423 	411 	: 	: 	: 	: 	: 
ICCS0101,T,NR,IS	7 	7 	: 	: 	: 	19 	: 	: 	: 	: 	: 
ICCS0101,T,NR,IT	9237 	9201 	9064 	9147 	9394 	9629 	6166 	6072 	6019 	5837 	5553 
ICCS0101,T,NR,LI	: 	: 	1 	0 	1 	1 	: 	: 	: 	: 	: 
ICCS0101,T,NR,LT	1544 	1603 	1659 	1732 	1885 	1914 	1976 	1997 	1882 	1806 	1778 
ICCS0101,T,NR,LU	: 	52 	1 	63 	61 	55 	54 	41 	: 	: 	: 
ICCS0101,T,NR,LV	603 	611 	628 	645 	697 	721 	: 	: 	: 	: 	: 
ICCS0101,T,NR,ME	23 	49 	46 	40 	48 	15 	11 	20 	16 	15 	14 
ICCS0101,T,NR,MT	: 	46 	37 	31 	32 	32 	8 	11 	13 	: 	: 
ICCS0101,T,NR,NO	: 	144 	140 	142 	133 	131 	140 	138 	133 	132 	136 
ICCS0101,T,NR,PL	4391 	4373 	4376 	4705 	4755 	4698 	4710 	4905 	4879 	4931 	4963 
ICCS0101,T,NR,PT	282 	289 	299 	314 	319 	330 	332 	335 	340 	341 	340 
ICCS0101,T,NR,RO	5011 	5537 	6192 	6448 	6264 	6258 	5598 	5636 	5499 	5559 	5810 
ICCS0101,T,NR,RS	775 	742 	729 	803 	774 	653 	: 	: 	: 	: 	: 
ICCS0101,T,NR,SE	653 	634 	583 	570 	550 	564 	463 	456 	468 	451 	436 
ICCS0101,T,NR,SI	103 	86 	75 	114 	116 	114 	107 	101 	102 	108 	111 
ICCS0101,T,NR,SK	397 	377 	493 	493 	497 	491 	608 	550 	587 	497 	: 
ICCS0101,T,NR,TR	34373 	: 	30212 	28752 	27368 	25735 	6434 	3484 	2958 	1514 	: 
ICCS0101,T,NR,UKC-L	5466 	5476 	5504 	5336 	5271 	5271 	5210 	5040 	4798 	5022 	4580 
ICCS0101,T,NR,UKM	: 	: 	: 	: 	863 	863 	843 	832 	819 	838 	817 
ICCS0101,T,NR,UKN	168 	162 	169 	189 	220 	180 	161 	167 	162 	150 	: 
ICCS0101,T,NR,XK	362 	388 	: 	418 	370 	438 	425 	412 	458 	284 	: 
ICCS0101,T,P_HTHAB,AL	14.32 	14.91 	11.26 	13.41 	37.16 	: 	: 	39.76 	: 	38.90 	35.90 
ICCS0101,T,P_HTHAB,AT	5.98 	5.68 	5.61 	5.68 	5.82 	6.07 	6.37 	6.36 	6.30 	6.23 	6.43 
ICCS0101,T,P_HTHAB,BE	: 	: 	: 	: 	: 	: 	8.02 	7.73 	7.91 	7.57 	7.95 
ICCS0101,T,P_HTHAB,BG	11.80 	11.95 	11.34 	11.23 	12.38 	12.84 	13.39 	13.28 	13.19 	14.06 	14.34 
ICCS0101,T,P_HTHAB,CH	5.62 	6.32 	6.54 	6.57 	6.08 	6.22 	6.24 	6.19 	6.25 	6.34 	6.16 
ICCS0101,T,P_HTHAB,CY	: 	: 	: 	: 	: 	2.08 	2.32 	2.26 	2.32 	2.13 	: 
ICCS0101,T,P_HTHAB,CZ	10.46 	10.80 	11.29 	8.33 	11.03 	11.01 	10.57 	11.89 	: 	: 	: 
ICCS0101,T,P_HTHAB,DE	4.10 	4.07 	4.14 	4.36 	4.56 	4.71 	: 	: 	: 	: 	: 
ICCS0101,T,P_HTHAB,DK	3.15 	3.10 	3.35 	3.46 	3.43 	3.62 	3.49 	3.79 	3.47 	3.27 	3.18 
ICCS0101,T,P_HTHAB,EE	24.94 	27.29 	30.02 	32.70 	37.09 	38.78 	39.01 	39.86 	39.53 	42.97 	46.32 
ICCS0101,T,P_HTHAB,EL	7.86 	8.05 	7.92 	7.42 	7.99 	7.42 	7.69 	6.51 	6.03 	5.48 	6.83 
ICCS0101,T,P_HTHAB,ES	7.97 	8.20 	8.40 	8.45 	8.19 	8.38 	8.17 	6.91 	7.11 	7.02 	6.51 
ICCS0101,T,P_HTHAB,FI	8.69 	9.23 	9.66 	11.04 	11.02 	11.44 	11.15 	11.24 	11.19 	11.10 	10.87 
ICCS0101,T,P_HTHAB,FR	7.46 	7.18 	7.44 	4.66 	5.90 	6.24 	5.24 	5.24 	5.26 	5.39 	5.54 
ICCS0101,T,P_HTHAB,HR	7.89 	: 	: 	8.02 	9.18 	9.46 	9.21 	: 	9.92 	10.51 	10.23 
ICCS0101,T,P_HTHAB,HU	16.67 	17.35 	: 	14.23 	15.56 	14.85 	: 	: 	: 	: 	: 
ICCS0101,T,P_HTHAB,IE	: 	: 	: 	: 	9.18 	8.95 	: 	: 	: 	: 	: 
ICCS0101,T,P_HTHAB,IS	2.01 	2.07 	: 	: 	: 	5.90 	: 	: 	: 	: 	: 
ICCS0101,T,P_HTHAB,IT	15.27 	15.19 	14.94 	15.05 	15.46 	16.13 	10.38 	10.23 	10.17 	9.89 	9.47 
ICCS0101,T,P_HTHAB,LI	: 	: 	2.66 	0.00 	2.69 	2.71 	: 	: 	: 	: 	: 
ICCS0101,T,P_HTHAB,LT	54.97 	56.29 	57.43 	59.29 	64.04 	64.40 	65.79 	65.42 	59.90 	56.72 	55.34 
ICCS0101,T,P_HTHAB,LU	: 	8.80 	0.17 	11.19 	11.10 	10.24 	10.29 	8.01 	: 	: 	: 
ICCS0101,T,P_HTHAB,LV	31.17 	31.33 	31.90 	32.48 	34.82 	35.63 	: 	: 	: 	: 	: 
ICCS0101,T,P_HTHAB,ME	3.70 	7.87 	7.39 	6.43 	7.72 	2.42 	1.77 	3.23 	2.58 	2.43 	2.27 
ICCS0101,T,P_HTHAB,MT	: 	9.99 	8.52 	7.22 	7.52 	7.59 	1.92 	2.65 	3.14 	: 	: 
ICCS0101,T,P_HTHAB,NO	: 	2.74 	2.69 	2.75 	2.60 	2.59 	2.81 	2.80 	2.74 	2.75 	2.87 
ICCS0101,T,P_HTHAB,PL	11.56 	11.52 	11.53 	12.38 	12.51 	12.34 	12.37 	12.89 	12.83 	12.93 	13.02 
ICCS0101,T,P_HTHAB,PT	2.74 	2.80 	2.89 	3.03 	3.06 	3.15 	3.15 	3.17 	3.22 	3.23 	3.22 
ICCS0101,T,P_HTHAB,RO	25.66 	28.19 	31.34 	32.45 	31.40 	31.26 	27.86 	26.32 	25.62 	27.20 	28.16 
ICCS0101,T,P_HTHAB,RS	11.07 	10.54 	10.30 	11.29 	10.83 	9.09 	: 	: 	: 	: 	: 
ICCS0101,T,P_HTHAB,SE	6.45 	6.34 	5.92 	5.85 	5.70 	5.90 	4.88 	4.84 	5.01 	4.87 	4.75 
ICCS0101,T,P_HTHAB,SI	4.98 	4.16 	3.63 	5.53 	5.63 	5.54 	5.21 	4.93 	4.98 	5.31 	5.52 
ICCS0101,T,P_HTHAB,SK	7.29 	6.94 	9.09 	9.09 	9.18 	9.07 	11.25 	10.20 	10.89 	9.23 	: 
ICCS0101,T,P_HTHAB,TR	42.54 	: 	38.37 	37.01 	35.70 	34.03 	8.61 	4.73 	4.08 	2.12 	: 
ICCS0101,T,P_HTHAB,UKC-L	9.27 	9.35 	9.47 	9.25 	9.22 	9.29 	9.24 	9.01 	8.65 	9.12 	8.39 
ICCS0101,T,P_HTHAB,UKM	: 	: 	: 	: 	16.17 	16.22 	15.89 	15.76 	15.61 	16.06 	15.75 
ICCS0101,T,P_HTHAB,UKN	: 	: 	9.74 	11.91 	11.97 	9.85 	8.85 	9.23 	9.00 	8.40 	: 
ICCS0101,T,P_HTHAB,XK	20.13 	: 	: 	: 	: 	: 	: 	22.96 	20.74 	13.02 	: 
